Company Name,Job Name,Work Shift and Experience,Localisation,Publish Date,More Info,Additional Information
Altius Contact,              Superviseur dans le domaine de la télévente                    , Responsable d'équipe (6 à 10 ans),"Tizi Ouzou, Algérie", Aujourd'hui,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/tizi-ouzou/10076662-superviseur-dans-le-domaine-de-la-televente,"Nous recherchons un superviseur en télévente expérimenté et passionné pour diriger notre équipe de commerciaux.Vous devez avoir au moins 6 mois d'expérience en supervision et d'excellentes compétences en communication et en gestion d'équipe.Si vous êtes prêt à relever ce défi passionnant, postulez dès maintenant et rejoignez notre équipe dynamique !"
Entreprise anonyme,              Coordinateur Trésorerie et Relations Bancaires                    , Responsable d'équipe (Plus de 10 ans),"Bab El Oued, Alger, Algérie...", Aujourd'hui,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/alger/bab-el-oued/10076659-coordinateur-tresorerie-et-relations-bancaires,"Missions Principales :Veiller à la solvabilité de l’entreprise.Assurer la liquidité financière.  Gérer la relation bancaire et représenter l’entreprise.Tâches à effectuer :Détermination quotidienne de la situation de la trésorerie de l’entreprise.Gestion des flux de trésorerieSuivi des opérations de cash et des engagementsPlanification des déplacements des démarcheurs et des envois bancairesOrientation et suivi des opérations d’importations en collaboration avec le département Import.Audit, Contrôle et visite sur site des directions régionalesReporting journalier, hebdomadaire, à la Hiérarchie et à la direction générale selon les procéduresSuivi des immobilisationsSuivi du recouvrement des créancesDéplacement et visites périodiques aux banquesGestion comptable :                     - Gestion plan comptable selon les procédure                    - Enregistrement des écritures comptables (automatiques, et Manuelles) sur système selon les                          procédures                    - Collecte des pièces comptables et des documentsTravaux Périodique :                    - Participation dans la clôture mensuelle et la déclaration mensuelle                    - Participation dans la clôture annuelle (Liasse Fiscale)                   - Montage des dossiers de créditRemplacement des membres du groupe-collègue dans le cadre de la continuité de l’activité du département Finances  Participation dans les projets de l’entrepriseProfil : BAC + 4  (Licence, Master LMD, Ingéniorat, Master) en   Finance, Comptabilité, Commerce, Science économique ; Statistiques, Mathématique,  3 à 5 ans d'expérience dans la gestion de trésorerie et de la comptabilité.Maitrise parfaite des outils Microsoft et autre logiciels comptables.Être apte à gérer les situation de stress.Bonne gestion du temps.Avoir un bon esprit d’analyse et de synthèseAvantages :Contrat à durée indéterminée.Cadre de travail agréable.Rémunération attractive."
eTalent Solutions,              Directeur des Ressources Humaines                    , Cadre dirigeant (Plus de 10 ans),"Alger, Algérie", Hier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/alger/10076658-directeur-des-ressources-humaines,"eTalent recrute pour l'un de ses clients : Un Directeur des ressources Humaines   Le DRH sera chargé de diriger et de superviser toutes les fonctions des ressources humaines de l'entreprise, y compris le recrutement, la formation, la gestion de la performance, la paie, les avantages sociaux, les relations avec les employés et la conformité réglementaire.Responsabilités Principales : - Définir la vision stratégique des ressources humaines et diriger sa mise en œuvre. - Élaborer et superviser des programmes efficaces de recrutement, de formation, de développement, de rétention et de succession. - Gérer les relations avec les instances représentatives du personnel.  - Veiller à la conformité avec toutes les lois et réglementations en matière de travail.  - Superviser l'administration de la paie et des avantages sociaux.  - Analyser et améliorer les structures organisationnelles. - Préparer le budget RH et en assurer le suivi.Compétences Requises :  - Connaissance approfondie des lois et réglementations en matière de travail.  - Fortes compétences en leadership. - Excellentes capacités de communication, d'écoute et de résolution de conflits. - Aptitude à analyser des situations complexes. - Maîtrise des systèmes d'information RH, des logiciels de paie et des outils analytiques. Profil recherché : - Diplôme de niveau Master en Ressources Humaines, Droit du travail ou domaine similaire. - Au moins 10 ans d'expérience en gestion des ressources humaines.- Vision stratégique et capacité à aligner les stratégies RH avec les objectifs d'affaires. - Adaptabilité et aptitude à travailler dans un environnement dynamique. - Intégrité et éthique dans toutes les actions."
Sarl Somafe,              Chef d'Antenne Commercial                    , Manager / Responsable département (Plus de 10 ans),"Oran, Oran, Algérie", Hier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/oran/oran/10074852-chef-d-antenne-commercial,"Missions du poste:Est chargé de développer le réseau commercial dans un périmètre donné.Anime, coordonne et dirige une équipe de commerciaux chargés de la vente et la distribution des fournitures et matériels électriques.Prospecte les clients potentiels (Distributeur; installateurs; grossistes et clients finaux)Assiste les Cadres commerciaux lorsque les termes de la négociation dépassent leur champ de compétences notamment au sujet des rabais, des ristournes et des niveaux de crédit.Oriente les clients pour la demande en équipements assemblés en atelier de montage.Gère la partie administrative et financière + stocks de l’antenne.Réalise l’inventaire de l’antenne tournant ou en fin d’exercice.Responsabilités:Sur la bonne gestion de l’antenne.Sur l’atteinte des objectifs en matière de chiffre d’affaires à réaliser.Sur l’organisation et le suivi de la relation clientèle.Profil recherché:Universitaire en sciences commerciales et/ou électrotechnique.Expérience +05 ans dans un poste similaire.Vaste connaissance du marché de l'électricité dans la région de l'OUEST.Grand esprit de communication, négociation.Apte et libre de tout engagement.Véhiculé souhaitable.Avantages du poste:Salaire négociable.Prime et variable."
Entreprise anonyme,              Responsable Maintenance Auxiliaire                    , Responsable d'équipe (6 à 10 ans),"Alger, Algérie", Hier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/alger/10076657-responsable-maintenance-auxiliaire,"Missions et Responsabilités :Superviser les travaux de maintenance des auxiliaires de la société Répondre aux demandes d'interventions des différents sites ;Planifier les interventions de la maintenance préventive et curative des auxiliaires ;Assurer le respect des procédures d'intervention et de sécurité ;Suivre les dossiers d'interventions et rendre compte des interventions auprès des responsables et directeurs de sites ;Intégrer et traiter les rapports de vérification générale périodique de l'ensemble des auxiliaires ;Réaliser le contrôle technique des auxiliaires et assurer leur suivi.  Taches Principales :Appliquer et faire appliquer les procédures de la maintenance des auxiliaires à son niveau ;Prendre en charge et suivre les opérations de maintenance curative et préventive des auxiliaires ;Prendre en charge les auxiliaires de la société en panne ;Coordonner les travaux de maintenance avec ses collaborateurs ;Superviser rigoureusement la maintenance préventive des auxiliaires conformément aux exigences légales et aux recommandations du constructeur ;   Assurer la réception technique des auxiliaires réparés par des prestataires externes ;Respecter les procédures qualité, hygiène, sécurité et Environnement ;Assurer le bon fonctionnement de tous les auxiliaires de l’entreprise ;Analyser et diagnostiquer les auxiliaires à réparer afin d'optimiser les temps d'intervention ;Assurer et superviser les travaux de maintenance des auxiliaires en coordonnant les interventions avec les responsables de sites et structures ;Participer au développement des compétences et de la performance des équipes en identifiant les leviers d'action (coaching, formation, conditions de travail, etc.) ;Prendre les décisions nécessaires et intervenir rapidement en cas de panne ;Rédiger des rapports sur les travaux de maintenance effectués ;Remplir et signer les fiches techniques d'intervention qui permettront de constituer le dossier de maintenance des auxiliaires et de retrouver toutes les interventions effectuées ;Transmettre à la hiérarchie le reporting et le rapport mensuel d’activité maintenance des auxiliaires ;Peut être chargé de toutes autres tâches ou missions en liaison avec ses activités ou son domaine de compétence ;                                                      Qualités Requises au Plan Professionnel :Formation universitaire <BAC+5> Ingénieur en maintenance, mécanique, électromécanique, ou équivalent ;Avoir au minimum 05 ans d’expérience professionnelle dans un poste équivalent, idéalement dans une entreprise de transport et/ou de logistique ;Solides connaissances en maintenance des auxiliaires (préventive et curative) ;Maitrise parfaite de l’outil informatique (Word, Excel, MS Project, GMAO, internet…).Qualités Requises au Plan Personnel : Discrétion,Sens du dialogue et de l’écoute,Sens de l’organisation,Capacité de synthèse et d’analyse,Mobilité et disponibilité,Sens de l’autorité et de la rigueur (leadership, aptitude à gérer les situations conflictuelles, …),Être proactif et réactif."
Entreprise anonyme,              coordinature QHSE                    , Responsable d'équipe (6 à 10 ans),"Bouira, Algérie", Hier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/bouira/10076656-coordinature-qhse,"Missions:  Planifier, mettre en œuvre et décliner la   démarche santé sécurité au travail et environnement à l’ensemble des   processus de  l'entreprise  ·           Faire évoluer la culture QHSE, dans un souci   d'amélioration continue en intégrant les exigences réglementaires et   clients ; ·           Préparer et planifier les programmes de   formations, sensibilisations relative au processus HSE pour une   meilleure réactivité ; ·           Accompagner les équipes QHSE régionaux dans   le déploiement et l’atteinte des objectifs QHSE, le suivi des actions et l’évaluation   de leurs efficacités ;  ·           Participer à l’identification et à la   rédaction des informations documentées relatives au processus HSE ;  ·           Collaborer avec les équipes opérationnelles pour   la réalisation des analyses des risques par activité et par site; ·           Consolider les plans d’actions des   différentes régions issus des réclamations clients et non-conformité relative   à la prestation de service, CPHS, inspections, contrôles et audits (Interne   et Externe); ·           Assurer une veille réglementaire SST relative   aux activités de l'entreprise  ; ·           Apporter des conseils et assistance   technique pour se conformer à la réglementation ; ·           Planifier, programmer et assister les   superviseurs QHSE lors des audits internes et les audits clients ; ·           Planifier, conduire et participer à la   réalisation du planning des exercices de simulation en collaboration   avec les Superviseurs QHSE ; ·           Veiller sur le bon fonctionnement des systèmes de   protections collectives en collaboration avec les équipes techniques; ·           Animer les instances mensuelles et trimestrielles   avec les superviseurs QHSE, les équipes opérationnelles; ·           Valider les rapports d’enquête d’accident,   d’incident, d’investigation, d’inspection et d’exercice de simulation avant   diffusion ; ·           Assurer la mise en place des consignes de   sécurité au poste de travail et les fiches préventives des risques en   collaboration avec les équipes opérationnelles ; ·           Assurer le Reporting régulier auprès du   Directeur QHSE via le tableau de bord QHSE   les pricipales compétences ·         Maitrise de la norme ISO 9001 - ISO 14001- ISO 45001- ISO 19011 ·         Maitrise les techniques d’audit relatif au SST ·         Maitrise les méthodes de résolutions des problèmes liés au processus HSE  ·         Maitrise les techniques d’évaluation des risques professionnels ·         Maitrise les exigences légales, réglementaires et normative en matière de santé et de sécurité au travail   ·         Avoir une capacité d'analyse, de conseil et de communication avec les équipes opérationnelles ·         Etre rigoureux et sérieux dans la réalisation des activités  ·         Très bonne maitrise de l’outil informatique,  ·         Avoir une expérience dans le domaine du transport et la logistique est un plus"
Entreprise anonyme,              Cadre Planning                       , Responsable d'équipe (Plus de 10 ans),"Alger, Algérie", Hier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/alger/10076653-cadre-planning,"Missions du poste :

Planifier les programmes d'exécution des travaux ,de mobilisation du personnel et  de moyens   matériels ;
Contrôler l'avancement des travaux ;
Etablir le Work Break-down Structure (WBS);
Mettre à jour les programmes des travaux ;
Relever quotidiennement les heures travaillées sur les differents chantiers ;
Gérer les écarts previsions / réalisations ;
Etablir les rapports hebdomadaires et mensuels d'avancement ;
Elaborer les attachements mensuels ;
Application des procédures de management de la qualité relatives à la planification  des projets.

 
Exigences du poste de travail :

Titulaire du diplôme d’ingénieur d’état en recherche Opérationnelle, ou en économie pétrolière ;                      
Expérience de cinq (05) ans minimum dans la planification des projets ;
Maîtriser les logiciels de planification de projets (Primavera - Ms Project) ;
Maîtriser la langue française écrite et parlée et connaissance de la langue  anglaise 
Disponibilité et Apte à effectuer des missions de travail  sur nos différents sites au niveau national .

  
Conditions  :

 Disponibilité immédiate.

 
Avantages :

Rémunération motivante ;
Cadre de travail agréable ;
Possibilité de perfectionnement et de formation."
Entreprise anonyme,              Responsable Maintenance engins et camions                    , Responsable d'équipe (6 à 10 ans),"Alger, Algérie", Hier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/alger/10076651-responsable-maintenance-engins-et-camions,"Missions et Responsabilités :Superviser les travaux de maintenance des engins de la société Répondre aux demandes d'interventions des différents sites.Planifier les interventions des techniciens pour la maintenance préventive et curative ;Assurer le support technique auprès des techniciens et veiller à ce qu'ils interviennent en respectant les procédures d'intervention et en garantissant la sécurité ;Suivre les dossiers d'interventions et rendre compte des interventions auprès des responsables et directeurs de sites.Intégrer et traiter les rapports de vérification générale périodique de l'ensemble des engins à la maintenance.Réaliser le contrôle technique des engins et assurer leur suivi.  Taches Principales : Appliquer et faire appliquer les procédures de la maintenance à son niveauPrend en charge les engins en panne ;Organiser la répartition de la charge de travail par atelier ;Coordonner les travaux de maintenance avec ses collaborateurs ;Valider les adaptations ou des modifications sur les engins ;Veiller sur l’optimisation des ressources humaines et matériels de la maintenance engins ;Superviser rigoureusement la maintenance préventive des engins conformément aux recommandations du constructeur ;   Assurer la réception technique des engins réparés par des prestataires externes ;Vérifier la fiabilité des informations renseignées sur les logiciels de maintenance des engins ;Respecte les procédures qualité, hygiène, sécurité et EnvironnementAssure le bon fonctionnement de tous les engins de l’entreprise ;Analyser et diagnostiquer les engins à réparer afin d'optimiser les temps d'intervention.Assurer et superviser les travaux de maintenance des engins en coordonnant les interventions avec les ateliers ;Analyser les échecs et proposer des améliorations.Participer au développement des compétences et de la performance des équipes en identifiant les leviers d'action (coaching, formation, conditions de travail, etc.).Prendre en charge et suivre les opérations de maintenance curative et préventive des engins ;Prendre les décisions nécessaires et intervenir rapidement en cas de panne.Rédiger des rapports sur les travaux de maintenance effectués.Remplir et signer les fiches techniques d'intervention qui permettront de constituer le dossier de maintenance des engins et de retrouver toutes les interventions effectuées ;Superviser et dirige le personnel approprié et lui fournir le soutien nécessaire à la réalisation de sa mission afin d'assurer une disponibilité maximale des engins par des interventions appropriées : Ajustements ; dépannage et exécution des plans de maintenance.Transmettre à la hiérarchie le reporting et le rapport mensuel d’activité maintenance des engins ;Organise et participe à des Réunions préparatoires ;Peut être chargé de toutes autres tâches ou missions en liaison avec ses activités ou son domaine de compétence ;Qualités Requises au Plan Professionnel :Formation universitaire <BAC+5> Ingénieur en maintenance, mécanique, électromécanique, ou équivalent.Avoir au minimum 05 ans d’expérience professionnelle dans un poste équivalent, idéalement dans une entreprise de transport et/ou de logistique.Solides connaissances en maintenance (préventive et curative).Maitrise parfaite de l’outil informatique <Word, Excel, MS Project, GMAO, internet…>Qualités Requises au Plan Personnel :DiscrétionSens du dialogue et de l’écouteSens de l’organisationCapacité de synthèse et d’analyseMobilité et disponibilitéSens de l’autorité et de la rigueur <leadership, aptitude à gérer les situations conflictuelles…>.Être proactif et réactif"
Entreprise anonyme,              Responsable Entrepot                    , Responsable d'équipe (6 à 10 ans),"Alger, Algérie", Hier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/alger/10076650-responsable-entrepot,"Missions et Responsabilités : Assurer la productivité optimale des opérations de l’entrepôt.Priorité à la satisfaction de la clientèle : superviser, organiser, diriger et former le personnel de l’entrepôt ;Etablir, contrôler et gérer les objectifs opérationnels ;Développer les systèmes opérationnels de l’entrepôt via la définition de critères pour la manutention et le stockage des produits, l’utilisation des équipements, la gestion des stocks, le contrôle des accès et les expéditionsFormer et diriger les équipes de l’entrepôt pour résoudre les problèmes opérationnels journaliers et atteindre les objectifs de performances à court et à long termeSuperviser les opérations journalières, contrôler et gérer les stocks et la logistiquePasser en revue et préparer les processus, les besoins en personnel et en espace, la disposition des équipements et les plans d’action tout en assurant le respect des normes de productivité, de qualité et de service clientsMaintenir un environnement de travail sécurisé et sain en établissant, en suivant et en appliquant les normes et procédures conformément aux exigences légales.Taches Principales :Contrôler la qualité des marchandises à leur entrée et à leur sortie ;Organiser la réception des produits ;Élaborer ou valider le planning d'affectation de son ou ses équipes ;Planifier ou valider les congés ou absences autorisées de son personnel ;Participer à la conception ou élaborer les fiches d'instructions, des procédures, … ;Participer à l'élaboration du planning de maintenance préventive ;Suivre les indicateurs d'activité ;Intégrer et former les nouveaux collaborateurs ;Fixer des objectifs à son personnel ;Apprécier et développer les compétences de son personnel ;Animer des réunions d'équipe ;Proposer et argumenter ses décisions vis-à-vis de son personnel ;Rendre compte des activités de son secteur à sa hiérarchie ;Définir l'organisation logistique des flux et l'implantation physique des marchandises en transit afin d'optimiser les capacités de stockage en termes de surface et de volume ;Déterminer le meilleur type d'emplacement et de conditionnement pour chaque type de marchandise (Où entreposer les produits en fonction de leur température de conservation ? Quels chariots sont les plus appropriés pour transférer les produits ? Quel type de rayonnage choisir pour entreposer des produits fragiles ?) ;Diriger son équipe composée de manutentionnaires, caristes et préparateurs de commande et la former ;Se charger de l'expédition des marchandises dans les temps voulus ;Planifier le voyage des produits, et veiller à ce qu'ils arrivent à temps chez les clients ;Fixer et respecter le budget, la qualité et les normes HSE ;Peut être chargé de toutes autres tâches ou missions en liaison avec ses activités ou son domaine de compétence ;Qualités Requises au Plan Professionnel :BAC + 04 ou BAC + 5 en logistique, Gestion des stocks, Supply chain ou équivalent ;Avoir au minimum 08 ans d’expérience professionnelle dans au poste, idéalement dans une entreprise de logistique ;Français, Anglais et Arabe (parlé et écrit) ;Maitrise de l’Excel, PowerPoint, Ms Project ;Maîtriser le fonctionnement de l’entrepôt ;Maîtriser la législation propre à l’entreposage ;Qualités Requises au  Plan Personnel :DiscrétionSens du dialogue et de l’écouteGérer une multitude d'interlocuteurs et d'interlocutricesExcellente communication écrite / orale, y compris la capacité de présenter devant les autres et de démontrer des compétences d'écoute active sont nécessairesSens de l’organisationCapacité de synthèse et d’analyseMobilité et disponibilitéSens de l’autorité et de la rigueur <leadership, aptitude à gérer les situations conflictuelles…>.Être proactif et réactif"
Entreprise anonyme,              Une Assistante de Direction Générale  (Assistante auprès du PDG Groupe)                    , Confirmé / Expérimenté (3 à 5 ans),"Alger Centre, Alger, Algérie", Hier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/alger/alger-centre/10076649-une-assistante-de-direction-generale-assistante-aupres-du-pdg-groupe,"Appel à candidaturesImportante entreprise recrute :Une Assistante de Direction Générale(Assistante auprès du PDG Groupe) Missions Principales :  Rattachée au président Directeur Générale du Groupe l’assistante de Direction Générale a pour mission d’apporter assistance au PDG du Groupe dans la réalisation de ses missions et d’assumer des tâches et des activités opérationnelles de différents ordres : collecte et traitement de l’information, tenue à jour du classement et de l’archivage des documents,  rédaction de courriers -PV- compte -rendu-notes, organisation de réunions internes et  externes intergroupe, assurer la gestion de l’agenda du PDG Groupe et des e-mails, d’organiser et faciliter ses déplacements professionnels, d’assurer l’interface avec les différents interlocuteurs et de veiller à la bonne circulation de l’information et des documents entre la DG du Groupe et ses filiales et interlocuteurs , ainsi que toutes autres tâches que lui confiera sa hiérarchie et ce, conformément aux procédures établies et dans le strict respect des normes et de l’application de la réglementation en vigueur au sein de l’entreprise. Activités Principales : Réceptionner et trier le courrier et prendre connaissance des es- mails,Traiter l'information (collecter, classer et mettre à jour) et Saisir des documents numériques,Assurer le filtrage des communications et des interlocuteurs, en tenant compte des instructions données par sa hiérarchie,Assurez l’interface téléphonique entre le Président Directeur Général du Groupe et ses divers interlocuteurs, en application des instructions données par la hiérarchie,Traiter les contacts du responsable hiérarchique, assurer la gestion de son agenda, son planning, ainsi que l’organisation de ses rendez-vous et ses déplacements Professionnels,Assurer la préparation de divers courriers, documents, dossiers de la Direction Générale dans le respect des obligations et des échéances arrêtées,Traiter, exploiter et assurer le suivi des informations, des dossiers relatifs aux affaires spécifiques de la DG du groupe confiés par la hiérarchie.Transmettre dans les délais, en interne et en externe les décisions, les courriers, les documents et informations pertinentes,Planifier, organiser et assurer la préparation et le suivi de réunions et l’accueil, rencontres, internes, intergroupe et externes,Organiser et coordonner les informations internes et externes, confidentielles, liés à son activité,Prendre en charge et assurer la rédaction du courrier, des comptes- rendus, synthèses, PV et notes, ainsi que les autres documents officiels à caractère confidentiel, confiés par la hiérarchie,Assurer l’interface avec la structure Moyens généraux pour le suivi des aspects liés à la logistique (déplacements professionnels, réservations de vols, hôtels et taxis, repas d’affaires, … jusqu’à la vérification des passeports et autres documents),Veiller à la qualité dans la transmission de l’information auprès des interlocuteurs internes et externes.Veiller à la tenue et à la mise à jour du classement du courrier et à l’archivage des documents de référence,Veiller à la constitution du fonds documentaire de la Direction Générale du Groupe et à la mise en place des modes de classement et d’archivage accessibles,Actualiser la documentation professionnelle et réglementaire liée à son activité (se mettre à jour),Manager un ou plusieurs collaborateurs.Rendre compte à sa hiérarchie en temps réel, du niveau des réalisations et des difficultés rencontrées,Proposer des solutions pouvant aider à résoudre les difficultés rencontrées,Veiller au suivi et à la réalisation du reporting de son activité.  Conditions d’accès :Diplôme universitaire Bac + 4 ans : licence ou diplômes assimilésExpérience professionnelle minimum de 05 ans,Bonne connaissance de la langue française, langue arabe,Connaissance de l’anglais. Bonne présentation.Connaissances :Connaissance de l’organisation et le fonctionnement de l’organisation du travail en vigueur,Connaissances de l’environnement et outils bureautique (traitement de texte…),Connaissance des méthodes de rédaction des différentes correspondances; Techniques de prise de notes,Utilisation d'outils collaboratifs (planning partagé, web conférence, réseau social d'entreprise, ...Connaissance des Méthode de classement et d'archivageConnaissance des Techniques de numérisation,Connaître les principales missions et le mode de fonctionnement d’un Groupe Industriel,Connaissance du domaine d’intervention d’un Président Directeur Général d’un Groupe Industriel,Savoir concevoir un tableau de bordSavoir Construire un dossier professionnelCompétences Principales:Respect des procédures de travail en vigueur,Rigueur, organisation, ordre et méthode,Sens de la confidentialité et de la discrétion,Sens de la vigilance, Sens des responsabilités,Grande disponibilité, réactivité,Capacité à résister au stress,Capacités à gérer les priorités,Esprit d’analyse et de synthèse,Dynamique, esprit de collaboration, Initiative,Bonne aptitude relationnelles et à la communication avec son environnement, courtoisie,Capacités d’écoute,Bon sens de l’autonomie,Capacités d’adaptation,Capacités à rendre compteEsprit analytique et de synthèse,Capacités rédactionnelles (rédiger des notes ou correspondances à partir de consignes orales ou manuscrites), Initiative et autonomie, Environnement :Travail de bureau, horaires de travail de type administratif,Avec une très forte disponibilité en dehors de ces horaires. Niveau de poste : confirmé expérimentéType de contrat : CDIRémunération, selon les compétences/ Grille des salaires,NB : Il ne sera répondu que candidatures jugées recevables"
