Company Name,Job Name,Work Shift and Experience,Localisation,Publish Date,More Info,Additional Information
BOMARE COMPANY (Stream System),              Chargé CRM                    , Confirmé / Expérimenté (3 à 5 ans),"Alger, Algérie", 07 Janvier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/alger/10075208-charge-crm,"Sarl BOMARE   COMPANY   représentée   par la    marque commerciale « Stream System » est à la recherche de « Chargé CRM »Mission du poste:Cibler la demande du client.Conseiller le client en fonction de ses besoins : Dimension, Usage, Option ,PrixCommuniquer aux clients les différentes Promotion.Expliquer aux clients le mode d’utilisation .Expliquer aux clients les aventages offert par la Sarl BOMAR COMPANY .Expliquer aux Clients  La garantie offerte par la Sarl BOMARE COMPANY.Assurer l'ecoute clientRepondre aux réclamations des clients et etablir une synthese des reclamationAssurer le traitement et le suivi des réclamations clientsGestion des bases de données et réalisation d'action de fidélisationsExecuter toute Tache coufrée par l'Hierarchie Profil recherché: Diplôme      universitaires (Marketing / science commerciale). Maitrise des bases      de gestions. Sens de la responsabilité, Sens du travail en      équipe, Organiser et communicatif,Discrétion professionnel"
Sarl dynamic agro,              Agent de Sécurité                    , Confirmé / Expérimenté (3 à 5 ans),"Alger, Algérie", 07 Janvier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/alger/10075207-agent-de-securite,"Les principales tâches sont :Surveiller la structure sous sa responsabilité.Intervenir en cas de besoinSi nécessaire, alerter les forces de l'ordre et les secours Conserver un registre détaillé des activités effectuées Vérifier les accès aux structures"
Établissement hospitalier privé eldjazair,              Pharmacienne                    , Jeune diplômé (1 à 2 ans),"Oran, Algérie", 07 Janvier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/oran/10075206-pharmacienne,Recherche d’un pharmacien pour gérer la pharmacie d’une clinique medicochirurgicale pluridisciplinaire située à OranIl s’agit d’une clinique avec plusieurs services: Chirurgie pluridisciplinaire Cardiologie interventionelle Imagerie médicale Gynécologies-obstétricale Laboratoire d’analyse médicale
Nord africaine asphalt,              Ingénieur En Travaux Publics DTP                    , Confirmé / Expérimenté (3 à 5 ans),"Constantine, Algérie", 07 Janvier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/constantine/10075205-ingenieur-en-travaux-publics-dtp,"Description Nous recherchons un Ingénieur en Travaux Publics pour rejoindre notre équipe à Constantine. Le candidat devra avoir une expérience de 3 à 5 ans dans le domaine des travaux publics ExigencesDiplôme de Master 2, Ingéniorat ou Bac + 5Expérience de 3 à 5 ans dans le domaine des chantiers, des métiers BTP et de l'architectureConnaissance des normes et des règles en vigueurBonne connaissance des outils informatiquesCapacité à travailler en équipeSens de l'organisation et de la planification"
SARL BEN ABBES CONDITIONNEMENT ET TRANSFORMATION DES FRUITS ET LEGUMES,              Responsable Management Qualité Et Sécurité Alimentaire                    , Manager / Responsable département (3 à 5 ans),"Biskra, Biskra, Algérie", 07 Janvier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/biskra/biskra/10075204-responsable-management-qualite-et-securite-alimentaire,Description : Compétences requises : - Expérience minimale de 2 ans en gestion de la qualité dans le secteur agroalimentaire. - Formation certifiée en ISO 22000 et FSSC (ou équivalent). - Master en agroalimentaire ou qualification équivalente. Conditions de travail : - Salaire compétitif : 100 000 DZD. Les candidats intéressés sont invités à envoyer leur CV .
Nord africaine asphalt,              Technicien en travaux publics DTP                    , Confirmé / Expérimenté (3 à 5 ans),"Constantine, Algérie", 07 Janvier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/constantine/10075203-technicien-en-travaux-publics-dtp,"Description Nous recherchons un Technicien en travaux publics pour rejoindre notre équipe à Constantine, Algérie. Le candidat doit avoir une expérience professionnelle de 3 à 5 ans dans le domaine des travaux publics.ExigencesDiplôme de Technicien Supérieur (Bac +2) en travaux publicsExpérience professionnelle de 3 à 5 ans dans le domaine des chantiers, des métiers BTP Connaissance des normes de sécurité et de qualitéBonne gestion des budgets et des délaisExcellentes compétences en communication et en gestion de projet"
Pharmacie Lalmas,              assistant en pharmacie                    , Confirmé / Expérimenté (1 à 2 ans),"Larbaa, Blida, Algérie", 07 Janvier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/blida/larbaa/10075200-assistant-en-pharmacie,"Description Nous recherchons un assistant en pharmacie pour rejoindre notre équipe à Larbaa, Daïra Larbâa, Blida, Algérie. Le candidat doit avoir entre 1 et 2 ans d'expérience et être titulaire d'un doctorat ou d'une formation professionnelle.ResponsabilitésGérer les stocks de médicaments et de produits pharmaceutiquesAssurer le suivi des commandes et des livraisonsGérer les relations avec les fournisseurs et les clientsAssurer le suivi des dossiers médicauxAssurer le suivi des prescriptions médicalesAssurer le suivi des procédures administrativesAssurer le suivi des procédures de délégation médicaleExigencesExpérience professionnelle d'au moins 1 à 2 ans dans le domaine de la santé, de la médecine et de la pharmacieTitulaire d'un doctorat ou d'une formation professionnelleExcellentes compétences en communication et en gestion des relationsExcellentes compétences en matière de gestion des stocks et des commandesExcellentes compétences en matière de gestion des dossiers médicaux et des procédures administrativesExcellentes compétences en matière de délégation médicaleAvantagesNous offrons un contrat de consultant à temps plein avec des avantages compétitifs et une rémunération attractive. Nous offrons également une formation continue et des possibilités d'évolution de carrière."
Eurl SetifisMed,              Operateur commerciale                     , Jeune diplômé (1 à 2 ans),"Setif, Setif, Algérie", 07 Janvier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/setif/setif/10075199-operateur-commerciale,"Eurl Setifismed, distributeur des produits pharmaceutiques et parapharmaceutiques recrute des opérateurs et opératrices au niveau de son siège situé a la zone d'activité de Sétif.Niveau universitaire souhaiter Habite a Sétifpour les opératrices une expérience de 2 ans minimum dans le domaine exigé .Formation assuré Salaire motivantClimat de travail très professionnel"
SNC Lavalin International Espana S.A.U - Acciona Agua,              Mécanicien                    , Confirmé / Expérimenté (3 à 5 ans),"Fouka, Tipaza, Algérie", 07 Janvier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/tipaza/fouka/10075198-mecanicien,"Description :En qualité de Mécanicien, rattaché au Coordonnateur de la Maintenance et/ou Chef d’Équipe Mécanique, le titulaire du poste a pour but d’entretenir et d’assurer le bon fonctionnement des équipements mécaniques, en prenant en charge les actions préventives et correctives.Principales responsabilités :Aider les Instrumentistes sur le démontage et le remontage de leurs gros équipements (actuateurs, servomoteurs …) ;Assurer la propreté de l'atelier mécanique et tout endroit après exécution des travaux ;Changement de la pièce de rechange aux niveaux des moteurs, compresseurs … ; Collecte périodique ou à la demande des vibrations sur les équipements dynamiques ;Diagnostiquer et analyser les anomalies des équipements mécaniques ;Effectuer les alignements des motopompes ;Effectuer les tâches de manutention et de nettoyage lors et après accomplissement de la tâche ;Établir les rapports d'interventions ;Exécuter les instructions émanant de sa hiérarchie ;Exécuter les tâches de maintenance préventives et correctives ;Exécuter tous les OT liés aux divers travaux mécaniques ;Exécuter toute autre tâche qui rentre dans les compétences de l'employé ;Intervention sur les filtres à cartouche (remplacement des filtres, joints...) ;Intervention sur les Racks (remplacement des membranes, tapas, side-port, joints, vannes 3 voies …) ;Intervention sur tous les équipements mécaniques statiques et dynamiques (pompes, compresseurs, vannes …) ;Participer aux divers nouveaux projets de l'Usine ;Remplir correctement les OTs et remonter à la hiérarchie, toute anomalie ou manquement constatés sur les équipements ainsi que les horaires et la durée exacte de l'intervention ;Rénover les équipements réparables dans l'atelier (PX, vannes, mécanismes …etc.)Vidange, appoint d'huile et graissage des équipements mécaniques.Exigences :Diplôme universitaire : Ingénieur en Génie Mécanique ;Expérience professionnelle : Trois (03) ans minimums ;Maitrise dans la lecture des schémas et les plans techniques ;Maitrise dans la rédaction écrite en langue française ;Bonne connaissance en Hygiène, sécurité et environnement (H.S.E) ;Bonne connaissance des analyses vibratoires ;Bonne connaissance des équipements industriels (pompes, vannes, compresseurs…) ;Bonne connaissance de la Pneumatique ;Connaissances dans la GMAO ;Maîtrise de l'outil informatique - MS Office ;Connaissances du secteur de dessalement d'eau de mer ;Avoir des notions de Base sur l'électricité et l'instrumentation ;Capacité d'adaptation aux nouveaux matériels et technologies ;Bonne condition physique ;Savoir travailler en équipe ;Savoir écouter et communiquer ;Être rigoureux, organisé, proactif, discipliné et autonome ;Habite dans les environs sera un avantage."
solutions technologiques Industrielles (Sti),              Technicien supérieur électromécanique                    , Confirmé / Expérimenté (1 à 2 ans),"Birkhadem, Alger, Algérie", 07 Janvier,https://www.emploitic.com/offres-d-emploi/offre-d-emploi/algerie/alger/birkhadem/10075168-technicien-superieur-electromecanique,"Missions du poste :   Chargé de réceptionner la matière première pour la production et opérer sur la machine de production la  maintenir, la réparer encas de panne.  Effectuer la maintenance préventive des machines pour garantir leur bon fonctionnement.  Participer à l'installation de nouveaux équipements et à leur mise en service. Expérience préalable en électromécanique."
